RUTA;DISTRIBUIDORA;GRUPO;DIVISION;PAIS;CANAL;TIPO ZONA
1.1.01;Bocadeli Quezaltepeque;GRUPO 09;SV Centro;El Salvador;Detalle;Contorno
1.1.02;Bocadeli Quezaltepeque;GRUPO 09;SV Centro;El Salvador;Detalle;Contorno
1.1.03;Bocadeli Quezaltepeque;GRUPO 10 ;SV Centro;El Salvador;Detalle;Contorno
1.1.04;Bocadeli Quezaltepeque;GRUPO 09;SV Centro;El Salvador;Detalle;Rural
1.1.05;Bocadeli Quezaltepeque;GRUPO 09;SV Centro;El Salvador;Detalle;Urbano
1.1.06;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Rural
1.1.07;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Rural
1.1.08;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Rural
1.1.09;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Urbano
1.1.10;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Contorno
1.1.11;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Urbano
1.1.12;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Urbano
1.1.13;Bocadeli Soyapango;GRUPO 05;SV Centro;El Salvador;Detalle;Contorno
1.1.14;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Urbano
1.1.15;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Urbano
1.1.16;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Urbano
1.1.17;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Contorno
1.1.18;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Urbano
1.1.19;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Urbano
1.1.20;Bocadeli Soyapango;GRUPO 05;SV Centro;El Salvador;Detalle;Urbano
1.1.21;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Urbano
1.1.22;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Urbano
1.1.23;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Urbano
1.1.24;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Contorno
1.1.25;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Contorno
1.1.26;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Urbano
1.1.27;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Rural
1.1.28;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Contorno
1.1.29;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Contorno
1.1.30;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Urbano
1.1.31;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Urbano
1.1.32;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Rural
1.1.33;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Rural
